flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_N,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
D,2019-05-17 21:55:00,SU,320,I,2,MLE,333,302,79,
A,2019-05-17 17:15:00,SU,321,I,2,MLE,333,302,205,
D,2019-05-17 18:55:00,SU,330,I,3,ULN,73H,158,143,
D,2019-05-17 07:05:00,EO,337,D,3,CSY,E90,110,77,
A,2019-05-17 10:30:00,EO,338,D,3,CSY,E90,110,88,
D,2019-05-17 07:00:00,EO,339,D,3,MQF,E90,110,45,
A,2019-05-17 12:30:00,EO,340,D,3,MQF,E90,110,67,
A,2019-05-17 19:15:00,CZ,355,I,3,CAN,332,260,239,
D,2019-05-17 21:15:00,CZ,356,I,3,CAN,332,260,177,
A,2019-05-17 05:40:00,N4,362,D,3,KRR,73H,189,179,
A,2019-05-17 18:40:00,FB,363,I,2,SOF,319,140,120,
D,2019-05-17 19:35:00,FB,364,I,2,SOF,319,140,79,
D,2019-05-17 16:25:00,EO,373,D,3,SVX,E90,110,75,
A,2019-05-17 22:15:00,EO,374,D,3,SVX,E90,110,94,
D,2019-05-17 17:30:00,N4,377,I,2,EVN,73H,189,175,
A,2019-05-17 00:35:00,N4,378,I,2,EVN,73H,189,152,
D,2019-05-17 18:00:00,EO,389,D,3,NBC,E90,110,90,
A,2019-05-17 22:30:00,EO,390,D,3,NBC,E90,110,99,
D,2019-05-17 20:45:00,SU,400,I,2,CAI,32B,183,79,
A,2019-05-17 07:25:00,SU,401,I,3,CAI,32B,183,103,
D,2019-05-17 08:55:00,N4,417,I,2,KQT,73H,189,102,
A,2019-05-17 20:30:00,N4,418,I,2,KQT,73H,189,123,
A,2019-05-17 19:55:00,BT,422,I,5,RIX,CS3,145,104,
D,2019-05-17 20:40:00,BT,423,I,5,RIX,CS3,145,132,
A,2019-05-17 09:00:00,BT,424,I,5,RIX,CS3,145,76,
D,2019-05-17 09:45:00,BT,425,I,5,RIX,CS3,145,108,
A,2019-05-17 01:00:00,BT,426,I,5,RIX,CS3,145,123,
D,2019-05-17 04:50:00,BT,427,I,5,RIX,CS3,145,111,
A,2019-05-17 14:40:00,BT,428,I,5,RIX,CS3,145,81,
D,2019-05-17 15:25:00,BT,429,I,5,RIX,CS3,145,123,
A,2019-05-17 13:45:00,EO,436,I,2,TNA,763,290,278,
D,2019-05-17 11:55:00,U6,439,D,3,SVX,320,160,63,
A,2019-05-17 18:20:00,U6,440,D,3,SIP,320,160,128,
D,2019-05-17 00:45:00,N4,477,I,2,EVN,73H,189,152,
A,2019-05-17 07:50:00,N4,478,I,2,EVN,73H,189,188,
D,2019-05-17 01:35:00,SU,500,I,3,TLV,321,170,111,
A,2019-05-17 12:00:00,SU,501,I,3,TLV,321,170,128,
D,2019-05-17 08:50:00,SU,502,I,3,TLV,77W,402,243,
A,2019-05-17 18:45:00,SU,503,I,3,TLV,77W,402,275,
D,2019-05-17 18:40:00,SU,504,I,3,TLV,77W,402,211,
A,2019-05-17 04:40:00,SU,505,I,3,TLV,77W,402,275,
D,2019-05-17 06:55:00,SU,506,I,3,TLV,333,296,102,
A,2019-05-17 16:50:00,SU,507,I,3,TLV,333,296,223,
D,2019-05-17 13:20:00,SU,508,I,3,TLV,32B,183,127,
A,2019-05-17 23:05:00,SU,509,I,3,TLV,32B,183,134,
D,2019-05-17 21:10:00,SU,510,I,2,BEY,321,170,75,
A,2019-05-17 05:55:00,SU,513,I,2,IKA,32A,158,116,
A,2019-05-17 00:20:00,SU,517,I,3,TLV,321,170,123,
D,2019-05-17 08:15:00,SU,520,I,5,DWC,73H,158,99,
A,2019-05-17 20:50:00,SU,521,I,5,DWC,73H,158,152,
D,2019-05-17 01:35:00,SU,522,I,5,DWC,73H,158,92,
D,2019-05-17 11:50:00,N4,523,D,3,SIP,73H,189,163,
A,2019-05-17 13:45:00,SU,523,I,5,DWC,73H,158,152,
A,2019-05-17 17:55:00,N4,524,D,3,SIP,73H,189,137,
D,2019-05-17 18:40:00,SU,524,I,5,DXB,73H,158,74,
A,2019-05-17 06:50:00,SU,525,I,5,DXB,73H,158,148,
D,2019-05-17 14:45:00,EO,529,D,3,REN,E90,110,99,
A,2019-05-17 20:10:00,EO,530,D,3,REN,E90,110,89,
D,2019-05-17 01:25:00,N4,541,D,3,OMS,73H,189,140,
A,2019-05-17 09:35:00,N4,542,D,3,OMS,73H,189,152,
A,2019-05-17 15:15:00,AZ,548,I,5,FCO,320,180,134,
D,2019-05-17 16:40:00,AZ,549,I,5,FCO,320,180,114,
A,2019-05-17 20:20:00,KM,560,I,5,MLA,320,168,97,
D,2019-05-17 21:35:00,KM,561,I,5,MLA,320,168,87,
D,2019-05-17 00:30:00,EO,563,D,3,OSW,E90,110,60,
A,2019-05-17 06:15:00,EO,564,D,3,OSW,E90,110,69,
D,2019-05-17 13:50:00,EO,567,D,3,RTW,E90,110,58,
A,2019-05-17 17:55:00,EO,568,D,3,RTW,E90,110,84,
A,2019-05-17 17:00:00,MU,591,I,2,PVG,333,298,253,
D,2019-05-17 19:05:00,MU,592,I,2,PVG,333,298,201,
D,2019-05-17 05:00:00,AZ,595,I,5,FCO,321,200,132,
A,2019-05-17 02:15:00,AZ,596,I,5,FCO,321,200,143,
D,2019-05-17 23:25:00,N4,633,D,3,SIP,73H,189,179,
A,2019-05-17 05:40:00,N4,634,D,3,SIP,73H,189,167,
A,2019-05-17 10:15:00,JU,650,I,5,BEG,319,142,51,
D,2019-05-17 11:00:00,JU,651,I,5,BEG,319,142,117,
A,2019-05-17 13:45:00,LO,675,I,5,WAW,E75,82,62,
D,2019-05-17 14:35:00,LO,676,I,5,WAW,E75,82,57,
A,2019-05-17 19:45:00,LO,677,I,5,WAW,E95,112,85,
D,2019-05-17 20:40:00,LO,678,I,5,WAW,E95,112,76,
A,2019-05-17 09:15:00,AY,711,I,3,HEL,E90,100,33,
D,2019-05-17 10:00:00,AY,712,I,3,HEL,E90,100,90,
A,2019-05-17 19:20:00,AY,713,I,3,HEL,E90,100,80,
D,2019-05-17 20:30:00,AY,714,I,3,HEL,E90,100,34,
A,2019-05-17 12:50:00,AY,715,I,3,HEL,E90,100,90,
D,2019-05-17 13:35:00,AY,716,I,3,HEL,E90,100,60,
D,2019-05-17 23:55:00,N4,729,D,3,REN,73H,189,172,
A,2019-05-17 05:30:00,N4,730,D,3,REN,73H,189,105,
A,2019-05-17 07:55:00,KC,871,I,5,ALA,32Q,179,130,
D,2019-05-17 09:10:00,KC,872,I,5,ALA,32Q,179,83,
A,2019-05-17 21:20:00,KC,873,I,5,TSE,32Q,179,177,
D,2019-05-17 22:20:00,KC,874,I,5,TSE,32Q,179,87,
A,2019-05-17 21:00:00,KC,875,I,5,ALA,321,179,158,
D,2019-05-17 22:05:00,KC,876,I,5,ALA,321,179,111,
A,2019-05-17 16:15:00,OK,894,I,2,PRG,73H,189,142,
D,2019-05-17 17:05:00,OK,895,I,2,PRG,73H,189,112,
A,2019-05-17 03:05:00,OK,898,I,2,PRG,73H,189,85,
D,2019-05-17 07:10:00,OK,899,I,2,PRG,73H,189,118,
D,2019-05-17 05:40:00,KL,900,I,5,AMS,73H,186,163,
A,2019-05-17 16:05:00,KL,903,I,5,AMS,73H,186,173,
D,2019-05-17 17:00:00,KL,904,I,5,AMS,73H,186,145,
A,2019-05-17 01:30:00,KL,907,I,5,AMS,73H,186,151,
A,2019-05-17 16:55:00,CA,909,I,2,PEK,333,301,234,
D,2019-05-17 18:45:00,CA,910,I,2,PEK,333,301,261,
A,2019-05-17 16:50:00,KE,923,I,3,ICN,789,269,159,
D,2019-05-17 18:55:00,KE,924,I,3,ICN,789,269,252,
A,2019-05-17 09:50:00,B2,975,I,2,MSQ,733,148,110,
D,2019-05-17 10:35:00,B2,976,I,3,MSQ,733,148,121,
A,2019-05-17 19:30:00,B2,977,I,2,MSQ,E95,107,103,
D,2019-05-17 20:20:00,B2,978,I,3,MSQ,E95,107,102,
D,2019-05-17 06:40:00,SU,1000,D,1,KGD,73H,158,128,
A,2019-05-17 11:20:00,SU,1001,D,1,KGD,73H,158,146,
D,2019-05-17 10:10:00,SU,1002,D,1,KGD,32A,158,156,
A,2019-05-17 15:15:00,SU,1003,D,1,KGD,32A,158,154,
D,2019-05-17 13:45:00,SU,1004,D,1,KGD,32A,158,130,
A,2019-05-17 19:00:00,SU,1005,D,1,KGD,32A,158,157,
D,2019-05-17 18:30:00,SU,1006,D,1,KGD,73H,158,99,
A,2019-05-17 23:25:00,SU,1007,D,1,KGD,73H,158,146,
D,2019-05-17 20:05:00,SU,1008,D,1,KGD,32A,158,143,
A,2019-05-17 05:50:00,SU,1009,D,1,KGD,32A,158,67,
D,2019-05-17 16:35:00,SU,1010,D,1,KGD,32A,158,122,
A,2019-05-17 21:20:00,SU,1011,D,1,KGD,32A,158,150,
D,2019-05-17 16:50:00,SU,1022,D,1,VOZ,SU9,87,85,
A,2019-05-17 20:30:00,SU,1023,D,1,VOZ,SU9,87,84,
D,2019-05-17 07:50:00,SU,1042,D,1,OGZ,32A,158,73,
A,2019-05-17 14:20:00,SU,1043,D,1,OGZ,32A,158,95,
A,2019-05-17 14:15:00,AF,1044,I,5,CDG,319,143,132,
D,2019-05-17 15:15:00,AF,1045,I,5,CDG,319,143,127,
D,2019-05-17 08:05:00,SU,1052,D,1,MCX,32A,158,93,
A,2019-05-17 15:00:00,SU,1053,D,1,MCX,32A,158,91,
D,2019-05-17 22:00:00,SU,1056,D,1,MCX,32A,158,158,
A,2019-05-17 04:45:00,SU,1057,D,1,MCX,32A,158,48,
D,2019-05-17 15:10:00,SU,1064,D,1,NAL,32A,158,115,
A,2019-05-17 21:00:00,SU,1065,D,1,NAL,32A,158,129,
D,2019-05-17 14:50:00,SU,1078,D,1,IGT,32A,158,77,
A,2019-05-17 21:30:00,SU,1079,D,1,IGT,32A,158,47,
D,2019-05-17 09:30:00,SU,1100,D,1,KRR,SU9,87,81,
A,2019-05-17 15:25:00,SU,1101,D,1,KRR,SU9,87,58,
D,2019-05-17 12:25:00,SU,1102,D,1,KRR,73H,158,129,
A,2019-05-17 18:00:00,SU,1103,D,1,KRR,73H,158,126,
D,2019-05-17 14:40:00,SU,1104,D,1,KRR,73H,158,140,
A,2019-05-17 20:25:00,SU,1105,D,1,KRR,73H,158,140,
D,2019-05-17 15:55:00,SU,1106,D,1,KRR,73H,158,147,
A,2019-05-17 21:35:00,SU,1107,D,1,KRR,73H,158,143,
D,2019-05-17 23:35:00,SU,1112,D,1,KRR,32A,158,148,
A,2019-05-17 05:05:00,SU,1113,D,1,KRR,32A,158,92,
D,2019-05-17 10:30:00,SU,1116,D,3,AER,332,229,217,
A,2019-05-17 17:05:00,SU,1117,D,3,AER,332,229,184,
D,2019-05-17 19:00:00,SU,1118,D,1,AER,73H,158,130,
A,2019-05-17 00:55:00,SU,1119,D,1,AER,73H,158,71,
D,2019-05-17 06:05:00,SU,1120,D,1,AER,32A,158,89,
A,2019-05-17 12:00:00,SU,1121,D,1,AER,32A,158,156,
D,2019-05-17 12:20:00,SU,1122,D,1,AER,73H,158,138,
A,2019-05-17 18:30:00,SU,1123,D,1,AER,73H,158,150,
D,2019-05-17 14:10:00,SU,1124,D,1,AER,32A,158,116,
A,2019-05-17 20:10:00,SU,1125,D,1,AER,32A,158,156,
D,2019-05-17 23:10:00,SU,1128,D,1,AER,73H,158,137,
A,2019-05-17 05:20:00,SU,1129,D,1,AER,73H,158,113,
D,2019-05-17 17:45:00,SU,1130,D,1,AER,32A,158,139,
A,2019-05-17 23:50:00,SU,1131,D,1,AER,32A,158,154,
D,2019-05-17 00:35:00,SU,1132,D,1,AER,SU9,87,33,
A,2019-05-17 14:35:00,SU,1133,D,1,AER,SU9,87,82,
D,2019-05-17 09:05:00,SU,1134,D,1,AER,73H,158,139,
A,2019-05-17 15:25:00,SU,1135,D,1,AER,73H,158,153,
D,2019-05-17 07:45:00,SU,1138,D,1,AER,73H,158,132,
A,2019-05-17 13:40:00,SU,1139,D,1,AER,73H,158,158,
D,2019-05-17 20:50:00,SU,1140,D,1,AER,32A,158,134,
A,2019-05-17 09:20:00,SU,1141,D,1,AER,32A,158,133,
D,2019-05-17 15:00:00,SU,1142,D,1,AAQ,32A,158,151,
A,2019-05-17 20:40:00,SU,1143,D,1,AAQ,32A,158,157,
A,2019-05-17 00:05:00,AF,1144,I,5,CDG,319,143,129,
D,2019-05-17 21:50:00,SU,1144,D,1,AAQ,73H,158,145,
A,2019-05-17 08:25:00,SU,1145,D,1,AAQ,73H,158,58,
D,2019-05-17 08:45:00,AF,1145,I,5,CDG,32A,174,140,
D,2019-05-17 06:30:00,SU,1146,D,1,AAQ,SU9,87,80,
A,2019-05-17 12:05:00,SU,1147,D,1,AAQ,SU9,87,62,
D,2019-05-17 08:10:00,SU,1152,D,1,GDZ,32A,158,157,
A,2019-05-17 14:10:00,SU,1153,D,1,GDZ,32A,158,123,
D,2019-05-17 15:30:00,SU,1154,D,1,ROV,32A,158,153,
A,2019-05-17 20:35:00,SU,1155,D,1,ROV,32A,158,154,
D,2019-05-17 13:20:00,SU,1156,D,1,ROV,SU9,87,85,
A,2019-05-17 18:15:00,SU,1157,D,1,ROV,SU9,87,87,
D,2019-05-17 07:30:00,SU,1158,D,1,ROV,73H,158,138,
A,2019-05-17 12:30:00,SU,1159,D,1,ROV,73H,158,157,
D,2019-05-17 09:00:00,SU,1162,D,1,ROV,32A,158,149,
A,2019-05-17 13:55:00,SU,1163,D,1,ROV,32A,158,149,
D,2019-05-17 01:55:00,SU,1164,D,1,ROV,SU9,87,80,
A,2019-05-17 07:45:00,SU,1165,D,1,ROV,SU9,87,68,
D,2019-05-17 21:35:00,SU,1172,D,1,ASF,32A,158,138,
A,2019-05-17 08:40:00,SU,1173,D,1,ASF,32A,158,133,
D,2019-05-17 14:50:00,SU,1174,D,1,ASF,32A,158,118,
A,2019-05-17 20:30:00,SU,1175,D,1,ASF,32A,158,148,
D,2019-05-17 14:55:00,SU,1182,D,1,VOG,73H,158,145,
A,2019-05-17 19:35:00,SU,1183,D,1,VOG,73H,158,148,
D,2019-05-17 22:50:00,SU,1184,D,1,VOG,73H,158,149,
A,2019-05-17 07:50:00,SU,1185,D,1,VOG,73H,158,96,
D,2019-05-17 17:35:00,SU,1186,D,1,VOG,SU9,87,84,
A,2019-05-17 22:10:00,SU,1187,D,1,VOG,SU9,87,79,
D,2019-05-17 02:00:00,SU,1188,D,1,VOG,73H,158,77,
A,2019-05-17 09:45:00,SU,1189,D,1,VOG,73H,158,146,
D,2019-05-17 09:15:00,SU,1190,D,1,KZN,32A,158,150,
A,2019-05-17 13:20:00,SU,1191,D,1,KZN,32A,158,89,
D,2019-05-17 16:00:00,SU,1192,D,1,KZN,SU9,87,70,
A,2019-05-17 20:25:00,SU,1193,D,1,KZN,SU9,87,75,
D,2019-05-17 19:20:00,SU,1194,D,1,KZN,32A,158,144,
A,2019-05-17 23:40:00,SU,1195,D,1,KZN,32A,158,106,
D,2019-05-17 00:45:00,SU,1196,D,1,KZN,73H,158,126,
A,2019-05-17 05:00:00,SU,1197,D,1,KZN,73H,158,73,
D,2019-05-17 22:15:00,SU,1198,D,1,KZN,32A,158,154,
A,2019-05-17 22:05:00,SU,1199,D,1,KZN,32A,158,147,
D,2019-05-17 07:20:00,SU,1200,D,1,PEE,32A,158,111,
A,2019-05-17 12:35:00,SU,1201,D,1,PEE,32A,158,137,
D,2019-05-17 17:35:00,SU,1204,D,1,PEE,SU9,87,80,
A,2019-05-17 22:55:00,SU,1205,D,1,PEE,SU9,87,78,
D,2019-05-17 01:50:00,SU,1206,D,1,KUF,SU9,87,68,
A,2019-05-17 06:10:00,SU,1207,D,1,KUF,SU9,87,44,
D,2019-05-17 09:40:00,SU,1208,D,1,KUF,32A,158,158,
A,2019-05-17 14:05:00,SU,1209,D,1,KUF,32A,158,123,
D,2019-05-17 08:10:00,SU,1210,D,1,KUF,32A,158,94,
A,2019-05-17 13:00:00,SU,1211,D,1,KUF,32A,158,74,
D,2019-05-17 13:45:00,SU,1212,D,1,KUF,73H,158,146,
A,2019-05-17 18:25:00,SU,1213,D,1,KUF,73H,158,158,
D,2019-05-17 17:05:00,SU,1214,D,1,KUF,73H,158,155,
A,2019-05-17 21:30:00,SU,1215,D,1,KUF,73H,158,154,
D,2019-05-17 22:35:00,SU,1216,D,1,KUF,73H,158,154,
A,2019-05-17 07:20:00,SU,1217,D,1,KUF,73H,158,102,
D,2019-05-17 01:25:00,SU,1218,D,1,PEE,SU9,87,66,
A,2019-05-17 06:40:00,SU,1219,D,1,PEE,SU9,87,65,
D,2019-05-17 09:45:00,SU,1220,D,1,GOJ,SU9,87,70,
A,2019-05-17 13:15:00,SU,1221,D,1,GOJ,SU9,87,70,
D,2019-05-17 23:50:00,SU,1222,D,1,GOJ,32A,158,144,
A,2019-05-17 06:15:00,SU,1223,D,1,GOJ,32A,158,105,
D,2019-05-17 18:20:00,SU,1224,D,1,GOJ,73H,158,129,
A,2019-05-17 21:50:00,SU,1225,D,1,GOJ,73H,158,106,
D,2019-05-17 16:30:00,SU,1226,D,1,GOJ,SU9,87,75,
